_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
476,Notre Dame Catholic H.S.,656,84.6,0.3,96.5,0.3,43.68068578,-79.29313138
477,Oakdale Park Middle School,417,91.6,0.7,95.2,0.7,43.74746507,-79.51199206
478,Oakridge Jr P.S.,265,88.7,0.8,86,0.8,43.69496075,-79.28254283
479,Oakwood C.I.,359,83.3,3.3,94.7,3.3,43.67865589,-79.43637901
480,Oasis Alternative,72,75,9.7,88.9,9.7,43.64572203,-79.39822258
481,O'Connor P.S.,80,86.3,0,91.3,0,43.71650733,-79.30415213
482,Ogden Jr P.S.,116,96.6,0.9,94.8,0.9,43.65001362,-79.39512686
483,Orde Street Jr P.S.,243,96.3,0.8,92.6,0.8,43.65862749,-79.39226008
484,Oriole Park Jr P.S.,156,96.2,3.2,95.5,3.2,43.70257155,-79.40969328
485,Ossington/Old Orchard Jr P.S.,188,95.7,3.2,95.2,3.2,43.65270767,-79.42259976
486,St Joachim C.S.,217,91.7,0,92.6,0,43.71282528,-79.27514407
487,Our Lady of Fatima C.S.,558,85.8,1.8,86.7,1.8,43.71015994,-79.29361584
488,Our Lady of Grace C.S.,194,87.1,0.5,93.3,0.5,43.81169988,-79.27408966
489,Our Lady of Guadalupe C.S.,121,83.5,0.8,84.3,0.8,43.78953291,-79.35496656
490,Our Lady of Lourdes C.S.,383,86.7,0,87.5,0,43.66604349,-79.37469556
491,Our Lady of Peace C.S.,458,88.9,3.3,93,3.3,43.64651225,-79.54107815
492,Our Lady of Perpetual Help C.S.,244,93,0.4,92.2,0.4,43.68729849,-79.38330488
493,Our Lady of Sorrows C.S.,577,90.5,2.4,92.5,2.4,43.64801452,-79.51832504
494,Our Lady of The Assumption C.S.,284,77.8,1.1,75,1.1,43.71618939,-79.431283
495,Our Lady of Victory C.S.,485,86.6,0.2,88.7,0.2,43.68332113,-79.49031478
