school_name,enrolled_population,dtp_coverage_rate_percent,dtp_religious_exemption_rate_percent,mmr_coverage_rate_percent,mmr_religious_exemption_rate_percent
Mary Shadd P.S.,310,94.5,0.6,96.1,0.6
Mary Ward Catholic S.S.,1002,87.5,1.2,96.9,1.1
Maryvale P.S.,180,89.4,2.2,92.8,1.7
Mason Road Jr P.S.,209,89.5,0.5,90.4,0.5
Maurice Cody Jr P.S.,374,96,2.1,96.3,2.1
McKee P.S.,427,97.2,0.9,97.9,0.9
McMurrich Jr P.S.,350,92.9,4,93.1,4
Meadowvale P.S.,177,91,1.7,96,1.7
Melody Village Jr School,124,99.2,0.8,97.6,0.8
Michael Power/St Joseph H.S.,1818,84.6,2,95.5,2
Military Trail P.S.,319,90.3,0.6,91.2,0.6
Mill Valley Jr School,83,92.8,7.2,92.8,7.2
Milliken P.S.,184,96.2,1.6,96.7,1.6
Millwood Jr School,241,97.5,2.1,97.5,2.1
Milne Valley Middle School,575,89.4,1.6,93.7,1.6
Monarch Park C.I.,775,86.8,2.3,96,2.3
Monsignor Fraser College - Alternate Study,106,82.1,1.9,95.3,1.9
Monsignor Fraser College - Isabella,14,42.9,7.1,71.4,7.1
Monsignor Fraser College - Midland,16,87.5,0,100,0
Monsignor Fraser College - Midland North,28,89.3,0,96.4,0
Monsignor Fraser College - Midtown,26,69.2,0,96.2,0
Monsignor Fraser College - Norfinch,73,80.8,0,93.2,0
Monsignor Fraser College - Northeast,64,78.1,0,92.2,0
Monsignor Fraser College - Southwest,99,75.8,1,94.9,1
Monsignor Fraser College - St. Martin,16,62.5,0,100,0
Monsignor John Corrigan C.S.,158,87.3,0.6,88,0.6
Monsignor Percy Johnson Catholic H.S.,936,84.9,0.9,94.7,0.9
Montrose Jr P.S.,112,99.1,0.9,98.2,0.9
Morrish P.S.,235,94.9,0.4,97.9,0.4
Morse Street Jr P.S.,323,96.6,1.9,96.9,1.9
Mother Cabrini C.S.,136,87.5,2.2,89,2.2
Mountview Alternative Jr,63,93.7,4.8,93.7,4.8
Muirhead P.S.,97,96.9,2.1,90.7,2.1
Native Learning Centre,15,66.7,6.7,86.7,6.7
Nativity of Our Lord C.S.,322,86,2.8,87.6,2.8
Neil McNeil High School,822,87.1,1.7,96.4,1.6
Nelson Mandela Park P.S.,234,94,2.1,94.9,2.1
Newtonbrook S.S.,749,80.6,1.7,89.9,1.7
Niagara Street Jr P.S.,125,92,1.6,96.8,1.6
Norman Cook Jr P.S.,83,95.2,1.2,96.4,1.2
Norman Ingram P.S.,109,92.7,3.7,94.5,3.7
Norseman JMS,581,92.9,2.1,96.7,2.1
