school_name,enrolled_population,dtp_coverage_rate,mmr_coverage_rate
HAWTHORNE II BILINGUAL ALTERNATIVE JUNIOR SCHOOL,94,95.7,94.7
HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL,89,98.9,97.8
HENRY HUDSON SENIOR PUBLIC SCHOOL,287,96.2,96.2
HENRY KELSEY SENIOR PUBLIC SCHOOL,298,96.6,96.6
HERITAGE PARK PUBLIC SCHOOL,190,93.7,93.7
HEYDON PARK SECONDARY SCHOOL,116,83.6,97.4
HIGH PARK ALTERNATIVE SCHOOL JUNIOR,76,84.2,84.2
HIGHCASTLE PUBLIC SCHOOL,198,89.4,92.4
HIGHFIELD JUNIOR SCHOOL,290,95.9,96.6
HIGHLAND CREEK PUBLIC SCHOOL,127,98.4,98.4
HIGHLAND HEIGHTS JUNIOR PUBLIC SCHOOL,94,96.8,95.7
HIGHLAND JUNIOR HIGH SCHOOL,486,94.4,95.9
HIGHVIEW PUBLIC SCHOOL,70,94.3,97.1
HILLCREST COMMUNITY SCHOOL,185,88.1,89.7
HILLMOUNT PUBLIC SCHOOL,89,96.6,97.8
HILLTOP MIDDLE SCHOOL,561,91.4,93.6
HODGSON SENIOR PUBLIC SCHOOL,533,87.6,90.2
HOLLYCREST MIDDLE SCHOOL,475,88.6,92.8
HOLLYWOOD PUBLIC SCHOOL,180,92.8,91.7
HOLY ANGELS CATHOLIC SCHOOL,302,93.4,94
HOLY CHILD CATHOLIC SCHOOL,206,92.2,92.2
HOLY CROSS CATHOLIC SCHOOL,202,93.6,91.6
HOLY FAMILY CATHOLIC SCHOOL,138,88.4,92
HOLY NAME CATHOLIC SCHOOL,203,96.1,97
HOLY ROSARY CATHOLIC SCHOOL,152,93.4,91.4
HOLY SPIRIT CATHOLIC SCHOOL,264,91.7,90.5
HORIZON ALTERNATIVE SENIOR SCHOOL,67,91,91
HOWARD JUNIOR PUBLIC SCHOOL,267,87.6,88.4
HUMBER SUMMIT MIDDLE SCHOOL,458,82.3,87.1
HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,252,88.1,88.9
HUMBERCREST PUBLIC SCHOOL,430,95.3,96
HUMBERSIDE COLLEGIATE INSTITUTE,1212,88,96.2
HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY,469,97,97.2
HUMEWOOD COMMUNITY SCHOOL,331,89.7,91.8
HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,256,93.4,95.7
HURON STREET JUNIOR PUBLIC SCHOOL,163,89.6,93.3
IMMACULATE CONCEPTION CATHOLIC SCHOOL,298,96,96.3
IMMACULATE HEART OF MARY CATHOLIC SCHOOL,105,96.2,95.2
INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL,174,89.1,90.8
INGLENOOK COMMUNITY SCHOOL,72,77.8,90.3
INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,109,95.4,96.3
IONVIEW PUBLIC SCHOOL,219,87.2,91.3
IROQUOIS JUNIOR PUBLIC SCHOOL,217,97.2,99.1
ISLAND PUBLIC/NATURAL SCIENCE SCHOOL,112,94.6,94.6
ISLINGTON JUNIOR MIDDLE SCHOOL,278,83.5,89.9
J B TYRRELL SENIOR PUBLIC SCHOOL,416,97.4,97.8
J G WORKMAN PUBLIC SCHOOL,126,98.4,98.4
J R WILCOX COMMUNITY SCHOOL,152,94.7,93.4
JACK MINER SENIOR PUBLIC SCHOOL,197,98.5,98
JACKMAN AVENUE JUNIOR PUBLIC SCHOOL,315,88.6,90.5
JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL,851,83.2,89
JAMES CULNAN CATHOLIC SCHOOL,275,96.4,97.5
JAMES S BELL JUNIOR MIDDLE SCHOOL,283,92.9,91.2
JARVIS COLLEGIATE INSTITUTE,660,88,93.9
JEAN VANIER CATHOLIC SECONDARY SCHOOL,860,88.7,92.4
JESSE KETCHUM JUNIOR AND SENIOR PUBLIC SCHOOL,304,79.9,83.9
JOHN A LESLIE PUBLIC SCHOOL,335,93.1,95.8
JOHN BUCHAN SENIOR PUBLIC SCHOOL,185,93,91.4
JOHN D PARKER JUNIOR SCHOOL,193,91.2,92.2
JOHN ENGLISH JUNIOR MIDDLE SCHOOL,626,94.2,94.7
JOHN FISHER JUNIOR PUBLIC SCHOOL,220,93.2,94.1
JOHN G ALTHOUSE MIDDLE SCHOOL,482,90.2,91.9
JOHN G DIEFENBAKER PUBLIC SCHOOL,145,93.8,95.2
JOHN MCCRAE PUBLIC SCHOOL,352,93.5,96
JOHN POLANYI COLLEGIATE INSTITUTE,871,78.3,84.4
JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL,308,90.3,93.2
JOHN WANLESS JUNIOR PUBLIC SCHOOL,346,94.5,96.2
JOSEPH BRANT SENIOR PUBLIC SCHOOL,397,88.4,92.2
JOSEPH HOWE SENIOR PUBLIC SCHOOL,393,96.2,96.2
JOSYF CARDINAL SLIPYJ CATHOLIC SCHOOL,357,86.6,86.8
JOYCE PUBLIC SCHOOL,121,93.4,95
KAREN KAIN SCHOOL OF THE ARTS,172,89,90.7
KEELE STREET JUNIOR PUBLIC SCHOOL,295,84.7,87.5
KEELESDALE JUNIOR PUBLIC SCHOOL,62,93.5,96.8
KENNEDY PUBLIC SCHOOL,352,97.2,97.2
KENSINGTON COMMUNITY SCHOOL,82,95.1,93.9
KEW BEACH JUNIOR PUBLIC SCHOOL,238,92.4,94.1
KIMBERLEY JUNIOR PUBLIC SCHOOL,141,98.6,99.3
KING EDWARD JUNIOR AND SENIOR PUBLIC SCHOOL,474,92,92
KING GEORGE JUNIOR PUBLIC SCHOOL,93,94.6,96.8
KINGSLAKE PUBLIC SCHOOL,103,92.2,93.2
KINGSVIEW VILLAGE JUNIOR SCHOOL,198,81.8,85.9
KIPLING COLLEGIATE INSTITUTE,449,80.6,89.1
KNOB HILL PUBLIC SCHOOL,314,84.4,86.3
LAKESHORE COLLEGIATE INSTITUTE,640,82.7,93.3
LAMBERTON PUBLIC SCHOOL,137,79.6,86.1
LAMBTON KINGSWAY JUNIOR MIDDLE SCHOOL,401,93.8,95.3
LAMBTON PARK COMMUNITY SCHOOL,56,82.1,85.7
L'AMOREAUX COLLEGIATE INSTITUTE,495,83,89.7
LANOR JUNIOR MIDDLE SCHOOL,199,91,92.5
LAWRENCE HEIGHTS MIDDLE SCHOOL,148,93.9,93.9
LAWRENCE PARK COLLEGIATE INSTITUTE,1192,89,96.8
LEASIDE HIGH SCHOOL,969,89.5,97.6
LEDBURY PARK ELEMENTARY AND MIDDLE SCHOOL,339,90,92
LESCON PUBLIC SCHOOL,84,89.3,90.5
LESLIEVILLE JUNIOR PUBLIC SCHOOL,182,89.6,93.4
LESTER B PEARSON COLLEGIATE INSTITUTE,1334,90.2,97.5
LESTER B PEARSON ELEMENTARY SCHOOL,324,95.1,97.2
LILLIAN PUBLIC SCHOOL,99,98,97
