school_name,enrolled_population,dtp_coverage_rate_percent,mmr_coverage_rate_percent
Silver Springs P.S.,250,96.4,96
Silverthorn C.I.,834,82,95.2
Silverthorn Community School,225,92.9,93.8
Sir Adam Beck Jr School,244,94.3,94.7
Sir Alexander Mackenzie Sr P.S.,396,89.9,97.5
Sir Ernest Macmillan Sr P.S.,370,89.5,96.8
Sir John A Macdonald C.I.,1094,85.7,95.4
Sir Oliver Mowat C.I.,1048,86.5,97.1
Sir Samuel B Steele Jr P.S.,234,97,97
Sir Wilfrid Laurier C.I.,1319,87.2,97.3
Sir William Osler H.S.,110,87.3,93.6
Sloane P.S.,144,95.8,96.5
Smithfield Middle School,631,93.5,98.1
South East Year Round Alternative,27,92.6,100
Spectrum Alternative Sr,60,88.3,91.7
Sprucecourt Jr P.S.,194,92.8,96.9
St Agatha C.S.,282,89,91.5
St Agnes C.S.,241,81.3,81.3
St Aidan C.S.,220,88.6,91.8
St Albert C.S.,317,89.3,91.5
St Alphonsus C.S.,165,84.2,86.7
St Ambrose C.S.,258,85.7,88.4
St Andre C.S.,419,86.2,88.1
St Andrew C.S.,550,79.3,86.4
St Andrews Middle School,393,93.1,94.9
St Andrews P.S.,222,96.4,98.2
St Angela C.S.,397,77.6,81.1
St Anselm C.S.,269,89.2,91.1
St Anthony C.S.,242,81.8,86
St Antoine Daniel C.S.,297,81.5,82.8
St Augustine C.S.,422,82.2,84.6
St Barbara C.S.,265,84.9,84.5
St Barnabas C.S.,207,94.2,93.2
St Bartholomew C.S.,67,86.6,86.6
St Bede C.S.,117,84.6,90.6
St Benedict C.S.,436,86.5,89.4
St Bernard C.S.,478,86.6,88.7
St Bonaventure C.S.,435,90.8,93.1
St Boniface C.S.,259,86.1,86.5
St Brendan C.S.,409,90.2,94.4
St Brigid C.S.,425,84,88
St Bruno / St Raymond C.S.,158,80.4,84.8
St Catherine C.S.,78,80.8,87.2
St Cecilia C.S.,463,92,94.2
St Charles C.S.,193,91.2,91.2
St Charles Garnier C.S.,314,85.4,86.6
St Clare C.S.,300,87.3,89.7
St Clement C.S.,329,90.9,93.3
St Columba C.S.,169,81.1,82.2
St Conrad C.S.,426,89.9,90.6
St Cyril C.S.,217,92.2,93.5
St Demetrius C.S.,193,83.9,87.6
St Denis C.S.,215,89.3,90.7
St Dominic Savio C.S.,193,90.2,89.6
St Dorothy C.S.,239,87.9,90
St Dunstan C.S.,185,81.1,82.7
